단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철수,버정수,단지내주차면수
C1840,593,1,5,1,39.57,82,7.0,1,14418000.0,108130.0,0.0,3.0,543.0
C1840,593,1,5,1,46.9,174,7.0,1,21628000.0,132160.0,0.0,3.0,543.0
C1840,593,1,5,1,51.93,84,7.0,1,25233000.0,144180.0,0.0,3.0,543.0
C1332,1297,1,4,1,39.99,282,11.0,8,28598000.0,203050.0,0.0,2.0,1112.0
C1332,1297,1,4,1,39.99,143,11.0,8,28598000.0,203050.0,0.0,2.0,1112.0
C1332,1297,1,4,1,46.85,78,11.0,8,42776000.0,302800.0,0.0,2.0,1112.0
C1332,1297,1,4,1,46.98,92,11.0,8,42776000.0,302800.0,0.0,2.0,1112.0
C1332,1297,1,4,1,46.98,246,11.0,8,42776000.0,302800.0,0.0,2.0,1112.0
C1332,1297,1,4,1,46.98,152,11.0,8,42776000.0,302800.0,0.0,2.0,1112.0
C1332,1297,1,4,1,51.9,156,11.0,8,51188000.0,362870.0,0.0,2.0,1112.0
C1332,1297,1,4,1,51.96,148,11.0,8,51188000.0,362870.0,0.0,2.0,1112.0
C1563,1974,1,4,1,39.73,214,15.0,1,30040000.0,206380.0,0.0,6.0,1696.0
C1563,1974,1,4,1,39.73,34,15.0,1,30040000.0,206380.0,0.0,6.0,1696.0
C1563,1974,1,4,1,39.82,471,15.0,8,31481000.0,216280.0,0.0,6.0,1696.0
C1563,1974,1,4,1,46.51,72,15.0,1,44717000.0,309580.0,0.0,6.0,1696.0
C1563,1974,1,4,1,46.81,68,15.0,1,44717000.0,309580.0,0.0,6.0,1696.0
C1563,1974,1,4,1,46.86,336,15.0,1,44717000.0,309580.0,0.0,6.0,1696.0
C1563,1974,1,4,1,46.86,108,15.0,1,44717000.0,309580.0,0.0,6.0,1696.0
C1563,1974,1,4,1,46.86,72,15.0,1,44717000.0,309580.0,0.0,6.0,1696.0
C1563,1974,1,4,1,51.6,491,15.0,8,53110000.0,360480.0,0.0,6.0,1696.0
C1563,1974,1,4,1,51.64,60,15.0,1,50679000.0,343970.0,0.0,6.0,1696.0
C1563,1974,1,4,1,51.84,48,15.0,1,50679000.0,343970.0,0.0,6.0,1696.0
C1794,1349,1,5,1,29.91,245,25.0,1,10273000.0,92330.0,0.0,2.0,1098.0
C1794,1349,1,5,1,39.63,645,25.0,1,17314000.0,126960.0,0.0,2.0,1098.0
C1794,1349,1,5,1,39.63,11,25.0,1,17314000.0,126960.0,0.0,2.0,1098.0
C1794,1349,1,5,1,46.9,120,25.0,1,23086000.0,150050.0,0.0,2.0,1098.0
C1794,1349,1,5,1,46.9,180,25.0,1,23086000.0,150050.0,0.0,2.0,1098.0
C1794,1349,1,5,1,59.89,148,25.0,1,33475000.0,184680.0,0.0,2.0,1098.0
C1640,533,1,5,1,39.51,87,17.0,1,15620000.0,114140.0,0.0,1.0,470.0
C1640,533,1,5,1,51.61,106,17.0,5,80169000.0,41750.0,0.0,1.0,470.0
C1640,533,1,5,1,51.61,166,17.0,5,80169000.0,41750.0,0.0,1.0,470.0
C1640,533,1,5,1,59.46,174,17.0,1,31242000.0,180230.0,0.0,1.0,470.0
C1377,470,1,2,1,29.91,62,18.0,1,8394000.0,71950.0,0.0,4.0,384.0
C1377,470,1,2,1,36.63,234,18.0,1,9592000.0,95920.0,0.0,4.0,384.0
C1377,470,1,2,1,46.76,26,18.0,1,16789000.0,143910.0,0.0,4.0,384.0
C1377,470,1,2,1,46.9,44,18.0,5,68696000.0,35770.0,0.0,4.0,384.0
C1377,470,1,2,1,51.93,104,18.0,5,85387000.0,44470.0,0.0,4.0,384.0
C2072,353,1,2,1,33.61,116,6.0,1,8050000.0,68110.0,0.0,1.0,280.0
C2072,353,1,2,1,33.72,90,6.0,1,8050000.0,68110.0,0.0,1.0,280.0
C2072,353,1,2,1,46.8,57,6.0,1,14863000.0,105280.0,0.0,1.0,280.0
C2072,353,1,2,1,51.93,90,6.0,1,19819000.0,130070.0,0.0,1.0,280.0
C1006,1505,1,3,3,26.37,358,27.0,3,5787000.0,79980.0,2.0,5.0,428.0
C1006,1505,1,3,3,26.37,229,27.0,3,5787000.0,79980.0,2.0,5.0,428.0
C1006,1505,1,3,3,26.37,574,27.0,3,5787000.0,79980.0,2.0,5.0,428.0
C1006,1505,1,3,3,26.37,10,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,1,3,3,26.37,10,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,1,3,3,31.32,298,27.0,3,6873000.0,94990.0,2.0,5.0,428.0
C1006,1505,1,3,3,52.74,6,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,38.0,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,38.0,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.26,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.41,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.41,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.41,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.49,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.95,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,37.95,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,38.04,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,39.33,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,39.93,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,39.93,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,54.51,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,54.51,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,54.51,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,54.6,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,54.61,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,75.98,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1006,1505,2,3,4,583.4,1,27.0,4,0.0,0.0,2.0,5.0,428.0
C1311,383,1,9,2,39.7,22,2.0,1,17286000.0,265400.0,0.0,2.0,265.0
C1311,383,1,9,2,39.7,13,2.0,1,17286000.0,265400.0,0.0,2.0,265.0
C1311,383,1,9,2,39.79,56,2.0,1,17288000.0,265430.0,0.0,2.0,265.0
C1311,383,1,9,2,39.79,13,2.0,1,17288000.0,265430.0,0.0,2.0,265.0
C1311,383,1,9,2,39.85,140,2.0,1,17346000.0,266020.0,0.0,2.0,265.0
C1311,383,1,9,2,39.85,70,2.0,1,17346000.0,266020.0,0.0,2.0,265.0
C1311,383,1,9,2,39.87,46,2.0,1,17354000.0,266140.0,0.0,2.0,265.0
C1311,383,1,9,2,39.87,23,2.0,1,17354000.0,266140.0,0.0,2.0,265.0
C2676,2572,1,9,3,26.37,294,25.0,3,5787000.0,79980.0,0.0,2.0,418.0
C2676,2572,1,9,3,26.37,1341,25.0,3,5787000.0,79980.0,0.0,2.0,418.0
C2676,2572,1,9,3,31.32,894,25.0,3,6873000.0,94990.0,0.0,2.0,418.0
C2676,2572,2,9,4,15.0,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,15.0,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,38.0,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,38.0,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,16.57,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,18.38,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,18.38,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,20.9,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,20.9,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,20.9,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,20.9,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,21.94,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,23.35,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,26.25,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,26.25,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,28.38,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,28.5,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.15,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.31,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.39,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,33.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.26,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.41,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.41,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.41,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.49,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.95,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,37.95,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,38.04,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,39.33,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,39.33,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,39.33,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,40.39,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,54.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,54.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,54.51,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,54.6,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,54.61,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,75.98,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,404.65,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2676,2572,2,9,4,583.4,1,25.0,4,0.0,0.0,0.0,2.0,418.0
C2318,420,1,9,2,49.94,276,1.0,1,21801000.0,234350.0,2.0,8.0,210.0
C2318,420,1,9,2,49.94,144,1.0,1,21801000.0,234350.0,2.0,8.0,210.0
C1603,602,1,10,1,39.63,294,0.0,1,13007000.0,91660.0,0.0,10.0,491.0
C1603,602,1,10,1,46.9,210,0.0,1,18581000.0,132520.0,0.0,10.0,491.0
C1603,602,1,10,1,47.41,28,0.0,1,18581000.0,132520.0,0.0,10.0,491.0
C1603,602,1,10,1,51.93,70,0.0,1,21678000.0,169710.0,0.0,10.0,491.0
C2523,371,1,6,1,36.65,98,2.0,1,14943000.0,126030.0,0.0,13.0,281.0
C2523,371,1,6,1,46.9,208,2.0,1,21442000.0,178800.0,0.0,13.0,281.0
C2523,371,1,6,1,51.93,65,2.0,1,25992000.0,215710.0,0.0,13.0,281.0
C2411,962,1,2,1,39.43,56,25.0,1,11992000.0,100720.0,0.0,2.0,840.0
C2411,962,1,2,1,39.72,336,25.0,1,11992000.0,100720.0,0.0,2.0,840.0
C2411,962,1,2,1,39.82,179,25.0,1,11992000.0,100720.0,0.0,2.0,840.0
C2411,962,1,2,1,46.9,240,25.0,1,71950000.0,37470.0,0.0,2.0,840.0
C2411,962,1,2,1,51.93,150,25.0,1,21586000.0,171480.0,0.0,2.0,840.0
C2033,1400,1,11,3,26.37,573,12.0,3,4032000.0,74860.0,0.0,7.0,308.0
C2033,1400,1,11,3,26.37,358,12.0,3,4032000.0,74860.0,0.0,7.0,308.0
C2033,1400,1,11,3,26.37,447,12.0,3,4032000.0,74860.0,0.0,7.0,308.0
C2033,1400,2,11,4,15.0,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,15.0,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,16.57,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,18.38,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,18.38,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,20.9,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,20.9,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,20.9,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,20.9,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,21.94,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,23.35,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,26.25,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,26.25,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,28.5,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,33.15,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,33.31,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,33.39,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,33.51,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,33.51,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,40.39,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,61.89,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C2033,1400,2,11,4,401.5,1,12.0,4,0.0,0.0,0.0,7.0,308.0
C1604,534,1,11,1,51.49,174,13.0,1,16016000.0,208870.0,0.0,2.0,400.0
C1604,534,1,11,1,51.95,360,13.0,1,16160000.0,210910.0,0.0,2.0,400.0
C2535,558,1,11,1,51.86,462,23.0,1,21883000.0,202160.0,0.0,2.0,480.0
C2535,558,1,11,1,59.99,96,23.0,1,25617000.0,254570.0,0.0,2.0,480.0
C1040,638,1,11,1,36.63,345,24.0,1,14485000.0,126050.0,0.0,3.0,548.0
C1040,638,1,11,1,46.19,293,24.0,1,18090000.0,184750.0,0.0,3.0,548.0
C2417,494,1,11,1,46.9,324,21.0,1,24969000.0,187260.0,0.0,4.0,447.0
C2417,494,1,11,1,51.93,170,21.0,1,29962000.0,249690.0,0.0,4.0,447.0
C1812,1021,1,11,3,26.37,745,22.0,3,3922000.0,72830.0,0.0,4.0,185.0
C1812,1021,1,11,3,31.32,239,22.0,3,4659000.0,86500.0,0.0,4.0,185.0
C1812,1021,2,11,4,9.96,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,13.07,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,13.59,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,14.25,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,14.25,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,14.25,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,14.25,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,19.15,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,22.89,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,23.25,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,27.75,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,28.19,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,42.35,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,55.17,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,55.17,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,248.56,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C1812,1021,2,11,4,253.71,1,22.0,4,0.0,0.0,0.0,4.0,185.0
C2253,1161,1,6,3,26.37,745,0.0,3,2249000.0,44770.0,0.0,2.0,173.0
C2253,1161,1,6,3,31.32,239,0.0,3,3731000.0,83020.0,0.0,2.0,173.0
C2253,1161,1,6,3,31.32,149,0.0,3,3731000.0,83020.0,0.0,2.0,173.0
C2253,1161,2,6,4,13.77,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,22.89,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,22.91,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,23.79,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,23.79,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,23.86,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,23.86,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,24.19,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,27.75,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.19,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.69,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.69,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.69,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.69,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.69,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.93,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,28.93,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,42.35,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,42.4,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,55.17,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,55.5,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,82.92,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C2253,1161,2,6,4,248.56,1,0.0,4,0.0,0.0,0.0,2.0,173.0
C1294,709,1,6,1,51.88,580,28.0,1,15762000.0,213760.0,0.0,2.0,571.0
C1294,709,1,6,1,51.97,39,28.0,1,15762000.0,200380.0,0.0,2.0,571.0
C1294,709,1,6,1,51.98,90,28.0,1,15762000.0,221740.0,0.0,2.0,571.0
C1772,496,1,6,1,46.9,306,25.0,1,18101000.0,210970.0,0.0,3.0,593.0
C1772,496,1,6,1,47.4,14,25.0,1,18726000.0,214710.0,0.0,3.0,593.0
C1772,496,1,6,1,51.93,176,25.0,1,27465000.0,223470.0,0.0,3.0,593.0
C2646,584,1,6,1,51.93,330,29.0,1,23536000.0,192000.0,0.0,5.0,499.0
C2646,584,1,6,1,59.88,254,29.0,1,27252000.0,252710.0,0.0,5.0,499.0
C1152,1301,1,9,1,51.77,358,33.0,1,28491000.0,167230.0,0.0,2.0,1101.0
C1152,1301,1,9,1,51.93,435,33.0,1,28491000.0,167230.0,0.0,2.0,1101.0
C1152,1301,1,9,1,59.88,508,33.0,1,35924000.0,222970.0,0.0,2.0,1101.0
C2423,207,1,10,1,39.37,104,0.0,1,11858000.0,102350.0,0.0,2.0,152.0
C2423,207,1,10,1,51.83,103,0.0,1,18101000.0,156030.0,0.0,2.0,152.0
C1844,620,1,10,1,36.63,196,0.0,1,14161000.0,120120.0,0.0,4.0,498.0
C1844,620,1,10,1,39.12,137,0.0,1,15680000.0,122670.0,0.0,4.0,498.0
C1844,620,1,10,1,46.22,287,0.0,1,17956000.0,153000.0,0.0,4.0,498.0
C1729,627,1,6,3,32.76,180,0.0,3,5009000.0,93000.0,0.0,5.0,131.0
C1729,627,1,6,3,32.76,64,0.0,3,5009000.0,93000.0,0.0,5.0,131.0
C1729,627,1,6,3,32.76,27,0.0,3,5009000.0,93000.0,0.0,5.0,131.0
C1729,627,1,6,3,32.76,44,0.0,3,5009000.0,93000.0,0.0,5.0,131.0
C1729,627,1,6,3,42.48,180,0.0,3,6496000.0,120600.0,0.0,5.0,131.0
C1729,627,1,6,3,42.48,56,0.0,3,6496000.0,120600.0,0.0,5.0,131.0
C1729,627,1,6,3,42.48,23,0.0,3,6496000.0,120600.0,0.0,5.0,131.0
C1729,627,1,6,3,42.48,36,0.0,3,6496000.0,120600.0,0.0,5.0,131.0
C1729,627,2,6,4,13.02,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,18.54,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,19.08,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,21.86,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,21.86,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,22.28,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,23.4,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,23.4,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,23.4,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,23.4,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,27.57,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,32.21,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,32.46,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,34.86,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,35.76,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,50.08,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1729,627,2,6,4,240.22,1,0.0,4,0.0,0.0,0.0,5.0,131.0
C1602,408,1,1,1,36.57,232,0.0,1,9611000.0,78090.0,0.0,4.0,319.0
C1602,408,1,1,1,36.57,20,0.0,1,9611000.0,78090.0,0.0,4.0,319.0
C1602,408,1,1,1,36.61,20,0.0,1,9611000.0,78090.0,0.0,4.0,319.0
C1602,408,1,1,1,46.54,64,0.0,1,15980000.0,108130.0,0.0,4.0,319.0
